Factories_name;Parent_companies_name;Country_parent;Address_1_factory;Address_2_factory;Address_3_factory;City_factory;Zip_Code_factory;Province_State_factory;countrycode;country_parent_num;factory_parent_different;Product_Categories_grp;b1_Adidas;b2_ASICS;b3_ASOS;b4_CandA;b5_Debenhams;b6_Esprit;b7_GAP;b8_G_STAR;b9_HandM;b10_MandS;b11_NIKE;b12_Pentland;b13_Primark;b14_PUMA;b15_Under_Armour;b16_VF_Corp;b17_Amer_Sports;b18_Bestseller;b19_KappAhl;b20_New_Balance;b21_Levi_Strauss;b22_PVH;b23_Tesco;b24_UNIQLO;TOTAL_BRANDS;employees_p_factory;nonmbrs;b1_Adidas_DICH;b2_ASICS_DICH;b3_ASOS_DICH;b4_CandA_DICH;b5_Debenhams_DICH;b6_Esprit_DICH;b7_GAP_DICH;b8_G_STAR_DICH;b9_HandM_DICH;b10_MandS_DICH;b11_NIKE_DICH;b12_Pentland_DICH;b13_Primark_DICH;b14_PUMA_DICH;b15_Under_Armour_DICH;b16_VF_Corp_DICH;b17_Amer_Sports_DICH;b18_Bestseller_DICH;b19_KappAhl_DICH;b20_New_Balance_DICH;b21_Levi_Strauss_DICH;b22_PVH_DICH;b23_Tesco_DICH;b24_UNIQLO_DICH;employees_p_factory_gt1000;ownership_grp;TOTAL_BRANDS16;TOTAL_BRANDS16_dich;femployees_p_factory;EPZ;Country
South Island Garment SDN HBD;South Island Garment Sdn Bhd;MY;2468, SOLOK PERUSAHAAN DUA, KAWASAN PERUSAHAAN Prai Perai;;;george town;13600;penang;Malaysia;Malaysia;yes;footwear;0;0;0;0;0;0;0;0;0;0;500;0;0;0;0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;500;500.0;;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;no;2500;500.0;500.0;66;no;Malaysia
Tai Wah Garments Industry SDN BHD (Kuli Jaya);Tai Wah Garments Industry SDN BHD;MY;G-15-2, JALAN TAN YOKE FONG JOHOR DARUL TAKZIM;;;johor darul;81000;johor;Malaysia;Malaysia;yes;footwear;0;0;0;0;0;0;0;0;0;0;2500;0;0;0;0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;500;2500.0;;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;yes;2500;500.0;500.0;30;no;Malaysia
Tai Wah Garments Industry SDN BHD (Segamat);Tai Wah Garments Industry SDN BHD;MY;LOT 451, JALAN PERKASA SEGAMAT;;;johor bahru;85000;johor;Malaysia;Malaysia;yes;footwear;0;0;0;0;0;0;0;0;0;0;500;0;0;0;0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;500;500.0;;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;no;2500;500.0;500.0;52;no;Malaysia
Tai Wah Garments Industry SDN BHD KL 1;Tai Wah Garments Industry SDN BHD;MY;60 & 70B, JALAN HAJI MANAN KLUANG;;;johor bahru;86000;johor;Malaysia;Malaysia;yes;footwear;0;0;0;0;0;0;0;0;0;0;500;0;0;0;0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;500;500.0;;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;no;2500;500.0;500.0;34;no;Malaysia
Tai Wah Garments Industry SDN BHD;Tai Wah Garments Industry SDN BHD;MY;527,JALAN KANGKAR TEBRAU;;;johor bahru;81100;johor;Malaysia;Malaysia;no;footwear;0;0;0;0;0;0;0;0;0;0;500;0;0;0;0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;500;500.0;;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;no;500;500.0;500.0;55;no;Malaysia
United Sweethearts Garment Sdn Bhd;United Sweetheart;MY;846, JALAN RAYA SUNGAI BAKAP;;;george town;14209;penang;Malaysia;Malaysia;yes;footwear;0;0;0;0;0;0;0;0;0;0;500;0;0;0;0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;500;500.0;;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;no;2500;500.0;500.0;22;no;Malaysia
Imperial Garments Sdn. Bhd.;Imperial Garments Sdn. Bhd.;MY;Lot 47 & 50, Tasek Avenue, Tasek Industrial Estate;;;ipoh;31400;perak;Malaysia;Malaysia;no;footwear;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.0;0.0;0.0;0.0;;0.0;0.0;0.0;500;;500.0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;no;500;;;-9;no;Malaysia
Elegant Computerize Embroidery Enterprise;Elegant Computerize Embroidery Enterprise;MY;25, Jalan Pasir Pinji 6, Off Jalan Chung Ah Ming;;;ipoh;31650;perak;Malaysia;Malaysia;no;accessories;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.0;0.0;0.0;0.0;;0.0;0.0;0.0;500;;500.0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;no;500;;;-9;no;Malaysia
Kulim Rubber Moulding SDN. BHD.;CY Handee Rubber Mouldings SDN. BHD.;MY;Lot 669, Jalan Perusahaan Satu, Kawasan Perusahaan Parit Buntar;;;parit buntar;9000;perak;Malaysia;Malaysia;yes;footwear;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.0;0.0;0.0;0.0;0.0;;0.0;0.0;500;;500.0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;no;2500;;;-9;no;Malaysia
Esquel Malaysia Sdn. Hbd;Esquel Enterprises Ltd;HK;Lot 1242, Sungai Kluang Estate, Bayan Lepas Free Industrial Zone, Phase 3, 11900 Penang;;;bayan lepas;11900;penang;Malaysia;344;yes;footwear;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.0;0.0;0.0;0.0;0.0;;0.0;0.0;500;;500.0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;no;7500;;;-9;yes;Malaysia
Bolsas y Papeles Morysan S.A. de C.V.;Bolsas y Papeles Morysan SA de C.V.;MX;Av. Santa Lucia No. 162;Fracc. Industrial San Antonio;;cuidad de mexico;2760;cuidad de mexico;Mexico;Mexico;no;accessories;500;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;500;500.0;;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;no;2500;500.0;500.0;-9;no;Mexico
Hong Ho Mexico SA de CV (Cheyo Mex);Hong Ho Corp;KR;TABALAJE CATASTRAL 5539;Parque Industrial Copraovalsa;;valladolid;97780;yucatan;Mexico;Korea;yes;footwear;2500;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;500;2500.0;;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;yes;7500;500.0;500.0;-9;yes;Mexico
