Factories_name;Parent_companies_name;Country_parent;Address_1_factory;Address_2_factory;Address_3_factory;City_factory;Zip_Code_factory;Province_State_factory;countrycode;country_parent_num;factory_parent_different;Product_Categories_grp;b1_Adidas;b2_ASICS;b3_ASOS;b4_CandA;b5_Debenhams;b6_Esprit;b7_GAP;b8_G_STAR;b9_HandM;b10_MandS;b11_NIKE;b12_Pentland;b13_Primark;b14_PUMA;b15_Under_Armour;b16_VF_Corp;b17_Amer_Sports;b18_Bestseller;b19_KappAhl;b20_New_Balance;b21_Levi_Strauss;b22_PVH;b23_Tesco;b24_UNIQLO;TOTAL_BRANDS;employees_p_factory;nonmbrs;b1_Adidas_DICH;b2_ASICS_DICH;b3_ASOS_DICH;b4_CandA_DICH;b5_Debenhams_DICH;b6_Esprit_DICH;b7_GAP_DICH;b8_G_STAR_DICH;b9_HandM_DICH;b10_MandS_DICH;b11_NIKE_DICH;b12_Pentland_DICH;b13_Primark_DICH;b14_PUMA_DICH;b15_Under_Armour_DICH;b16_VF_Corp_DICH;b17_Amer_Sports_DICH;b18_Bestseller_DICH;b19_KappAhl_DICH;b20_New_Balance_DICH;b21_Levi_Strauss_DICH;b22_PVH_DICH;b23_Tesco_DICH;b24_UNIQLO_DICH;employees_p_factory_gt1000;ownership_grp;TOTAL_BRANDS16;TOTAL_BRANDS16_dich;femployees_p_factory;EPZ;Country
Interstoff Apparels Ltd;Interstoff Apparels Ltd;BD;Chandra, Kaliakoir;;;Gazipur;1704;Dhaka;50;50;0;2;-9;-9;-9;-9;-9;-9;-9;-9;2;2;-9;-9;-9;-9;-9;-9;-9;-9;0;-9;-9;-9;0;-9;4;2;2;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;1;0;0;0;1;0;1;1;2;1;55;0;Bangladesh
Anowara Knit Composite Ltd;Vast Glory Trading Ltd;HK;Mulaid Mawna Sreepur;;;Gazipur;1740;Dhaka;50;344;1;2;-9;-9;-9;2;-9;-9;-9;-9;-9;-9;-9;-9;2;-9;-9;-9;-9;-9;-9;-9;-9;0;-9;-9;3;2;1;0;0;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1;0;0;1;3;2;1;46;0;Bangladesh
Anupam Hosiery Ind Pvt Ltd;Anupam Hosiery Industries (Al-Muslim Group);BD;Vulta Rupgonj;;;Narayanganj;1462;Dhaka;50;50;1;2;-9;-9;-9;2;-9;-9;-9;-9;2;-9;-9;-9;-9;-9;-9;-9;-9;-9;-9;-9;-9;-9;-9;-9;2;2;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;2;2;1;-9;0;Bangladesh
Apparels Village Ltd;Faiyaz Group;BD;Khagan Birulia;;;Dhaka;1340;Dhaka;50;50;1;2;-9;-9;-9;2;-9;-9;-9;-9;-9;-9;-9;-9;-9;-9;-9;-9;-9;-9;-9;-9;-9;-9;-9;-9;1;2;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;2;1;1;-9;0;Bangladesh
ASL Alliance Stitches Ltd;ASL Alliance Stitches Ltd;BD;DEPZ Old Zone Ganakbari;;;Dhaka;1349;Dhaka;50;50;0;2;-9;-9;-9;2;-9;-9;-9;-9;1;-9;-9;-9;-9;-9;-9;-9;-9;-9;-9;-9;-9;-9;-9;-9;2;2;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;2;1;-9;1;Bangladesh
B2B Excellence Ltd;B2B Excellence Ltd;BD;Mirzapur Purbara Mouza;Sador;;Gazipur;1703;Dhaka;50;50;0;2;-9;-9;-9;1;-9;-9;-9;-9;-9;-9;-9;-9;-9;-9;-9;-9;-9;-9;-9;-9;-9;-9;-9;-9;1;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;-9;0;Bangladesh
Badgetex Apparels Ltd;Badgetex Apparels Ltd;BD;Plot No. 6, Mohora Nexus I A Chandgaon;;;Chittagong;4221;Chittagong;50;50;0;2;-9;-9;-9;2;-9;-9;-9;-9;-9;-9;-9;-9;-9;-9;-9;-9;-9;-9;-9;-9;-9;-9;-9;-9;1;2;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;-9;1;Bangladesh
Bangladesh Export Import Co Ltd;Beximco Group Ltd;BD;Beximco Industrial Park,;;;Gazipur;1346;Dhaka;50;50;1;2;-9;-9;-9;1;-9;-9;-9;-9;-9;-9;-9;-9;-9;-9;-9;-9;-9;-9;-9;-9;-9;-9;-9;-9;1;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;1;1;-9;1;Bangladesh
Basic Embroidery Ltd;Basic Embroidery Ltd;BD;West Shewrapara;;;Dhaka;1216;Dhaka;50;50;0;1;-9;-9;-9;1;-9;-9;-9;-9;-9;-9;-9;-9;-9;-9;-9;-9;-9;-9;-9;-9;-9;-9;-9;-9;1;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;-9;0;Bangladesh
Best Shirts Ltd;Best Shirts Ltd;BD;35, Kuniya, P.O: National University,;;;Gazipur;1704;Dhaka;50;50;0;2;-9;-9;-9;2;-9;-9;-9;-9;-9;-9;-9;-9;-9;-9;-9;-9;-9;0;-9;-9;-9;-9;-9;-9;2;2;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;1;1;1;1;-9;0;Bangladesh
BHIS Apparels Ltd;BHIS Apparels Ltd;BD;Datta Para Hossain Market,;;;Gazipur;1712;Dhaka;50;50;0;2;-9;-9;-9;2;-9;-9;-9;-9;-9;-9;-9;-9;-9;-9;-9;-9;-9;-9;-9;-9;-9;-9;-9;-9;1;2;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;-9;0;Bangladesh
BTCL Bangladesh Textile Chemical Fibre;BTCL Bangladesh Textile Chemical Fibre;BD;Plot No 165 167;;;Comilla;3500;Chittagong;50;50;0;2;-9;-9;-9;1;-9;-9;-9;-9;-9;-9;-9;-9;-9;-9;-9;-9;-9;-9;-9;-9;-9;-9;-9;-9;1;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;-9;1;Bangladesh
